sim,classic_est,classic_se,lasso_est,lasso_se,xgb_est,xgb_se
139,13.559838545133944,6.70162086852646,14.807531099408967,6.58773560875543,14.19272905557582,6.686900654460432
140,20.068140325365945,6.2978618796829045,17.992823446724564,6.3184890507962566,20.916103526881987,6.461450547180368
141,16.395388020756616,6.1644289771782,15.25727140900085,6.052667814683432,13.647338518142279,6.203123543779987
142,25.13472001079381,6.625200111271811,25.0807110697924,6.663244888084142,22.190968371051817,6.796540339404173
143,22.41394174980073,6.599057093099281,22.711670378806133,6.485494802464491,20.110184810396664,6.435609797110296
144,21.89102717016001,6.545381426190826,23.066584473953004,6.469429028347811,27.408050157271934,6.584195808101109
145,13.043958440339576,6.635708509473728,13.080753022779556,6.539515566778618,10.438386589354804,6.797658765196448
146,9.657930356075694,6.918726969728401,8.951830250697618,6.849579236519039,5.883057987189053,7.0764260681107745
147,3.102522498376398,6.687315360487428,3.868552117150103,6.6113399598139075,1.5369050024333393,6.693044951394612
148,11.392785510079605,6.880633053732963,12.676585018961669,6.522145564671161,13.4624681503814,6.518704123892993
149,3.576496130183182,6.6384383886546185,3.9558141307900425,6.564880786769399,-1.3670395673271507,6.866943470353312
150,-1.8682684876007145,6.7709174280326865,-2.4278562053803223,6.672703544583965,-5.6479329176082995,6.688198842515566
151,-0.38817465602677026,6.180841797206689,-0.44114787418213264,6.102107695978761,-1.5704867575947907,6.1327683408881715
152,17.622499012577748,6.6881549315561974,16.20682513208375,6.5080987333414075,15.953672794502024,6.404845938677843
153,3.6014455118180675,6.692825295845544,5.3820926571276395,6.535968224224816,7.247225218994814,6.327646591272459
154,17.40028257511456,6.770850469717565,17.27058974308463,6.738125314778338,18.575476743186357,6.71903790528515
155,6.47769214922661,7.405793417033794,6.941880829136786,7.222926362290634,2.687762658002727,7.501454254305953
156,10.054730383137708,6.83801660670338,10.293367772557056,6.8205187844042925,10.120386409339302,6.893344334332779
157,9.074919403131124,6.944929581176145,10.472139241896075,6.727856451714877,13.914821548405035,6.938474458144611
158,8.88986601551804,6.843224623007062,9.01305596582454,6.540995863548187,7.228865343500675,6.619673104236987
